review,sentiment
"I would like to make it very clear that I am not at all religious. I am an atheist but I could see that Richard Dorkins was contradicting himself over and over again. I would also like to make it known that I am not the sort of person that argues against something with philosophy all the time, but I feel that when comparing science and religion we must be philosophical and be willing to question the belief in main stream science as well as questioning religious beliefs.<br /><br />I wonder if Richard Dorkins ever spends any time to think philosophically about belief, anyone who thinks long and hard enough about science and religion will realise that science is indeed a religion in itself. Yes there is a fundamental difference between the way that scientific beliefs are held when compared with other religions, but at it's roots, it's faith in a particular human instinct.<br /><br />Throughout this series, Richard insists that science methods are the only right way of thinking and that it makes sense to believe in something only if the evidence for it is strong enough. If you dig deep enough into how science functions you'll realise that it is just as irrational as religion and that it comes down to faith in the end, faith in the evidence, faith in our sanity, faith in our senses but more than anything else faith in our instinct to follow patterns of recurrence.<br /><br />This is not easy to explain but think about how the laws of physics were decided, it was because they were and still are the most common patterns of recurrence that we are aware of. I think that human beings have an instinct that makes them believe that the longer something remains in a certain state or place of existence the more we just assume out of blind FAITH that it is more likely to stay like it. For example, we don't expect that gravity will suddenly work in reverse tomorrow, by this I mean pushing matter away as supposed to attracting it. But the only reason why we don't expect this sudden change is because we have known for so long that it has always attracted as far as we are aware. However that doesn't mean that it couldn't do exactly the reverse tomorrow or even right now. It doesn't matter how long something may stay in a certain state or change, there is no rational reason to make assumptions about it but we do out of instinct. I would ask you to consider what is a long and short amount of time? There is no such thing, I don't know exactly how long it took for these supposed wise men to decide that everything must be made out of matter, Sound, Light, etc but lets give them what they would consider to be an edge way! Lets say far longer than it really was 12,00000000000 years! Is that a long period of time? 99999999999999999 years makes 12,00000000000 years seem like an incredibly short period of time. For all we know there could be an extreme amount of change in the so called laws of science within the next trillion years. It's all about comparison, only when we compare things can we say ""that is long"" or that is short. It's the same with big and small, wide and thin, heavy and light, strong and weak and others.<br /><br />I doubt that any scientist could tell me why they think that trusting this instinct makes sense. I certainly don't see why it should, but that doesn't mean that we as humanity should necessarily stop using it. With this in mind, the most hypocritical comment that Richard Dorkins made was when he said that faith is irrational, ""a process of non thinking"" he said. If what we have in this instinct that I've been describing and this instinct that we all possess on some level isn't faith then I don't know what the hell it is. Other times when he is being hypocritical is when he talks about the religions being bronze age, ""bronze age myths"" he says. I would like to point out that no matter how much scientific methods have been changed over the years due to experience, experiments and evaluating, the pure rules of science are getting older and older all the time! They could even be described as the holy bible of science. He was going on about how he is sick of the different religions being stubborn "" I am right, he is wrong"" but looking back on how rude he was to the various interviewees, he seems to be just as stubborn him self. To be fair to him, at least he doesn't try to bomb religious communities. I appreciate his hatred for certain religious beliefs that generate war, but I don't respect his arrogance in his own beliefs.<br /><br />As far as I'm concerned, Richard has the right to believe in science if that is his way. I am scientifically minded as well, but I don't think he has the right to go up to religious leaders having unfriendly arguments, trying to force his opinion on to them and virtually describing them as stupid. Despite all his education, experience and discoveries he seems to fail to have the wisdom to properly question his very own system of belief. I have read what he says in defence of this argument that open minded atheists such as my self put forward, What he states suggests to me that he is totally missing the point.<br /><br />Finally the title of the documentary, Root Of All Evil. This states that religion is the root of all evil, it isn't true. There are causes of evil that have nothing to do with religion.<br /><br />All round the documentary series was frustrating, narrow minded, hypocritical and flat-out rubbish.",negative
"I don't know anything of the writer's or the director's earlier work so I hadn't brought any prejudices to the film. Based on the brief description of the plot in TV Guide I thought it might be interesting.<br /><br />But implausibility was piled upon implausibility. Each turn of the plot seemed to be an excuse to drag in more bloodshed, gruesome makeup, or special effects.<br /><br />The score was professional and Kari Wuhrer seems like a decent actress but the rest was more than disappointing. It was positively repulsive.<br /><br />I will not go through the vagaries of the narrative but I'll give an example of what I think of as an excess of explicit gore.<br /><br />Chris McKenna goes to an isolated ranch house and pulls the frozen body of his earlier victim (Wendt) out of the deep freeze. McKenna had killed Wendt by biting a chunk out of his neck. Now he feels he must destroy the evidence of his involvement in Wendt's demise. (What are the cops going to do, measure his bite radius?) McKenna unwraps Wendt's head and neck from the freezer bag it's in, takes an ax, and begins to chop off Wendt's head. Whack. Whack. Whack. The bit of the ax keeps chipping away at Wendt's neck. The air is filled with nuggets of flying frozen flesh, one of which drops on McKenna's head. (He brushes it off when he's done.) McKenna then takes the frozen head outside to a small fire he's built. He sits the head on the ground, squats next to it, takes out some photos of a woman he's just killed, and shows them to Wendt's head. ""Remember her? We could have really made it if it hadn't been for you guys,"" he tells the head. ""Duke, you've always liked bonfires, haven't you?"" he asks. Then he places the head on the fire. We only get a glimpse of it burning but we can hear the fat sizzling in the flame.<br /><br />I don't want this sort of garbage to be censored. I'm only wondering who enjoys seeing this stuff.<br /><br />There's no reason to go on with the rest of the movie. Well, I'll mention one example of an ""implausibility,"" since I brought the idea up. McKenna has been kidnapped and locked in a dark bare shack. He knows he's going to be clobbered half to death in the following days. (He's literally invited the heavies to do it.) What would you do in this Poe-like situation? Here's what McKenna does on what may turn out to be the last night of his life. He finds a discarded calendar with a pin-up girl on it and masturbates (successfully). Give that man the Medal of Freedom! <br /><br />A monster who looks like Pizza the Hut is thrown into some unnecessary flashbacks. The camera is often hand held and wobbly. The dialog has lines like, ""Life is a piece of s***. Or else it's the best of all possible worlds. It depends on your point of view."" Use is made of a wide angle lens that turns ordinary faces into gargoyle masks. A house blows up in an explosive fireball at the end while the hero, McKenna, walks towards us in the foreground.<br /><br />Some hero he is, too. He first kills a man for $13,000 by bashing him over the head several times with a heavy statue, then a potted plant, before finally tipping a refrigerator over onto the body. (This bothers him a little, but not enough to keep him from insisting on payment.) Then, I hope I have the order straight, he kills Wendt by ripping out part of his neck. Then he kills the wife of his first victim by accident and blames the heavies for it, although by almost any moral calculus they had nothing to do with it. Next he burns the head honcho (Baldwin) alive. Then, having disabled the two lesser heavies, he deliberately blows them up, though one of them isn't entirely unsympathetic. And we're supposed to be rooting for McKenna.<br /><br />These aren't cartoon deaths like those in the Dirty Harry movies either -- bang bang and you're dead. These are slow and painful. The first one -- the murder for $13,000 -- is done clumsily enough to resemble what might happen in real life. It isn't really easy to kill another human being, as Hitchcock had demonstrated in Torn Curtain. But that scene leads to no place of any importance.<br /><br />Some people might enjoy this, especially those young enough to think that pain and death are things that happen only in movies. Some meretricious stuff on screen here.",negative
"I might have given this movie a higher rating before Peter Jackson's trilogy came out, but seeing the two of them side by side there is simply no comparison. The pace of this movie is rushed, many important scenes from the book are left out, and there is little character development. The animation is a strange mixture of traditional cartoon drawings and live action scenes that were painted over, which I found distracting. And the most disappointing thing about this movie is that it breaks off in the middle of the story and was never finished. There are some good points- the battle scenes are exciting to watch, and the dialogue follows the book pretty much to the letter. Watch this one if you're in a hurry and can't spend 10 hours watching the new trilogy. But if you haven't read the book you'll probably be confused, because there is a lot missing from this version. 4 out of 10.",negative
"Should this be an American movie I'd rate it 7: we've seen this before. Being this an Argentinean movie, and being myself Argentine, I'd like to give it a 10, since it's the kind of quality I'd been hoping -rather than expecting- for. It's superb quality is astonishing, given all the limitations imposed by the 3rd World...<br /><br />I can't forget the scene when Díaz forces Silverstein's fiancé to confess -you know what I mean if you saw the movie. I think that's the key moment of the movie, not surprising maybe, yet original. That's when the real action begins.<br /><br />Before watching a movie I always try to gather some previous information. Being this a mainstream, satyric, commercial one, I press ""Play"" and make a suspension of reality and logic, I'd say the best state of mind to enjoy movies like this. It's impossible to discuss the plausibility of the whole plot, yet it's believable in a certain way. As for me, I couldn't stop laughing at every single joke and commentary -""sos malo"" (""you're mean"")... put in the mouth of Díaz, the greatest one.<br /><br />I'm rather tired of seeing movies ""designed for"" Peretti. I know he's a superb actor, but sometimes I feel his roles unfairly opaque the rest, Luis Luque's role in this case. I'm not very fond of Argentine television, so I haven't seen much work from Luque, but it's pretty obvious that he's an excellent performer. His physical role, his stares, his content attitude in this movie made me fall in love with his performance. I think his role should need some upgrading, just to let him show us how great he can be!<br /><br />I don't know whether Szifrón is planning to make a sequel or not. I know he won't make it if it's to follow the rule that ""second parts were never good"", so if he makes it, I'll surely go see it. And I hope that, in the future, takes into account the possibility to give Peretti's counterparts the same chances to develop their roles.<br /><br />Great movie, great performances, and lots of laughs!",positive
"Storyline drags. Drug smugglers a Beautiful women and a determined cop. Nothing not already done a hundred times before. The boat sceen will be well worth the wait Amsterdam is the perfect city to pull it off. The canals and waterways put you on the edge of your seat. I would say the same as did the car chase in Bullitt, very intense!.",negative
"This is another of the many B minus movies tagged as film noir in the hope of generating some interest in something that is devoid of it. All aspects of the film - script, acting, direction - are mediocre. The acting by the three leads is wooden. I guess John Dall was expected to go places in the movie business but then someone realised he had little talent and therefore ended up doing TV work. Lee J Cobb who is usually terrific cannot rise above the poor script and poor direction. Jane Wyatt is supposed to be a femme fatale but comes nowhere near convincing the viewers. The movie does have two of the strangest looking cars that I have ever seen, the one in which John Dall goes after Lee J Cobb is particularly strange. The DVD transfer is typical Alpha.",negative
this movie is the best movie ever it has a lot of live action It's just great everyone should watch it and the actor are great the location is Rome Italy thats the best place ever the actors are great Mary-Kate Olsen is such a great actress she plays Charlie and thats a great character and Ashley Olsen play Leila and thats a great character to love When in Rome love it.,positive
"With this film, Bunuel manipulates the viewer with all of film's might while stating clearly in the film that his work is one of 'objectivity'. Obviously, it is not. For one reason, many scenes 'shot by pure chance' are obvious set-ups (when that poor goat 'accidently' falls off the cliff, you can actually see the gun smoke on the right of the screen!). For another, his concealing of one important information: the Hurdes people were the way they were for a specific reason which is just hinted at in the film. That is, goitre, a sickness caused by lack of iodine (salt). This goitre is the cause of their cretinism and had Bunuel only took the time to make his research (heck, if he checked 'cretinism' in a medical dictionary he'd have found 'goitre') he MIGHT have ended up telling the truth about these people (still, doubtfully). Instead, with his film, he judges them constantly, talking about them as 'cretins', again and again, dramatizing the action, setting-up scenes to create the spectacle, all of this very unacceptable for a documentarist which claims to work for an all-mighty objectivity. Bunuel talks all the time in this film, not letting one word to the people he is filming. He talks FOR them and, even then, JUDGES them. This piece is flawed to it's roots, to it's ideology and it's a real shame it's considered a great film.",negative
"""Lost"", ""24"", ""Carnivale"", ""Desperate Housewifes""...the list goes on and on. These, and a bunch of other high-quality, shows proves that we're in the middle of a golden age in television history. ""Lost"" is pure genius. Incredible layers of personal, and psychologically viable, stories, underscored by sublime cinematography (incredible to use this word, when describing a TV-show), a killer score, great performances and editing. Anyone who isn't hooked on this, are missing one of the most important creative expressions in television ever. It may have its problems, when watching only one episode a week, but the DVD format is actually an incredible way to watch this. Hope they keep it up (as I'm sure they do).",positive
"Note: I've tried not to give away any important plot twists (or the ending) but if you're concerned about that, please think about viewing the film before reading further--Thanks!<br /><br />This was obviously a fairly high budget production, released by Paramount. The story follows the (supposedly true)exploits of hiway-man Jack Shepard in 1700's London. He was a locksmith who got blackmailed into a life of crime by the nefarious ""Thief-Taker"" to save his brother's life. After being double crossed by the Thief-Taker, we turns into a sort of Robin Hood type figure and gains the support of the common folk. He proceeds to make escapes from several prisons (including the infamous Newgate) as well as having time to ""entertain"" numerous noble ladies.<br /><br />I really enjoyed the film, even though the plot was a bit predictable. The film was shot in Glencree and Wicklow Ireland and the sets were very well done and seemed realistic. I think Clavell captured the bustling atmosphere of London in the 1700's quite well and I enjoyed his creative use of camera angles. And, unlike many films depicting this period, Clavell pulls no punches in showing us the deplorable conditions in which the poor lived (in one scene several folks fight over a meat pie that has rolled through the filth in the street).<br /><br />Overall, I really enjoyed this film. I will admit that it lacks the wonderful scenery and underlying political commentary that Clavell's next film The Last Valley has (a parable to the Vietnam War), but it still merits a viewing or two. It is regrettable that it has not ever (to my knowledge) been released on video or DVD.",positive
"I don't buy kung fu movies for a plot. I buy them for fight scenes. A bad plot can be forgiven for excellent fight scenes, but not the other way around.<br /><br />The story was decent, but moved too slowly for my tastes. There were about 3 or 4 mediocre fight scenes throughout, lasting only a couple of minutes apiece. The last fight was a bit longer, but by that point i was so bored i didn't even pay attention to it.",negative
"More of a character study then a movie, COMMITTED is yet just another relationship romp with the trimmings specifically made for a young, target audience. The direction seems very basic, with obvious dramatic irony and a classic case of the lost loser versus the clueless committed. COMMITTED is watchable at times and there is a small feeling of originality from Lisa Krueger.<br /><br />COMMITTED is completely aimless for the first twenty minutes. We get to know Joline but the movie picks up when her husband disappears. Joline sets off to find him.<br /><br />Some parts are strange. Other times the movie drags. The second half is more humorous as we see Joline's spiritual antics take a turn for the more intense. The annoying guitar music is awful, but perhaps a necessary evil as COMMITTED offers very little anyway. An average movie hampered by some completely pointless moments, COMMITTED 's only asset is Heather Graham and Patricia Velazquez.",negative
"The storyplot was okay by itself, but the film felt very bubbly and fake. It also had the worst ending. They were probably going for a surprise ending, but all it did was leave me the question of what the whole point of the story was. All other teen movies are better than this one.",negative
"This is a really funny (and sexy) movie - that is not just silly but has great acting. It's the kind of movie where the characters are so entertaining that you feel like you are connected to everyone in the theater. I saw it at the Boston film festival, and I found myself frequently laughing out loud with everyone else, and also moved by some of the movie's more serious parts. It's a unique movie about two doctors, and I don't want to give anything away but there are some powerful scenes as well really funny ones - plus the dialogue is great. Wood Harris' character has a unique relationship with his girlfriend Zoe Saldana, and Brian White and Mya are also funny and sexy in their roles. If you get a chance to see it - go - you won't be disappointed. It's worth seeing again. Wood Harris deserves an award.",positive
"I never dreamed when I started watching this DVD that I would be totally mesmerized by it within minutes. The story was completely absorbing and entertaining. The acting was superb. The biggest surprise of all was how I would be so completely enchanted by the love these two young women radiated across the screen. Their initial physical encounter for me was by far the most tender, romantic, delightful, vicariously enthralling love scenes I have ever witnessed on film. I literally stopped breathing. I could not believe the chemistry between the two actresses. With no nudity or graphic sex, they conveyed more passion and titillation than any American production could ever hope to evince. Bravo to the author, the screenwriter, the director and the cast.",positive
"I was very impressed with with this film which was directed by (Luigi Bazzoni). The story was about a young woman translator who suddenly has lost all memory of the last three days and has suffered nightmares about astronauts on the moon. She can not explained how this has happened to anyone. One day a postcard arrives for her from the island of Garma, where she goes to visit. strangely though people seem to know her even though she has never been there before. Also her dreams of astronauts on the moon come back to her.<br /><br />I thought that this was a very strange Italian movie that seemed very haunting at times and there was also strange images in the film that seemed to stay with you throughout the the time you were watching the film. I would recommend this film to people just to see how good it is. HIGHLY RECOMMENDED!",positive
"In Truffaut book-length interview with Hitchcock, it's apparent that Big Al's fear from the police dates back to his childhood. His father sent him to the police station carrying a note. The note said: ""He's been naughty, imprison him for an hour."" The policemen obliged and ever since Hitchcock has had a deep fear of being wrongly accused and taken by the police.<br /><br />""Strangers on a Train"" is probably one of the best in his ""wrongly-accused"" series. The movie is based on a Patricia Highsmith novel. That's the same author who wrote the Ripley series. She was always fascinated by smart criminals.<br /><br />Hitchcock's opening is very strong and takes you immediately to the protagonists: Guy Haines, a famous tennis player, and Bruno Anthony, the aspiring criminal. The two guys share a chemistry which in that day and age was probably a lot more than what the audience could chew. Bruno tries to persuade Guy that they could commit the perfect murder (leaving no clues), if they switch victims. Bruno will kill Guy's wife who wouldn't give him a divorce, and Guy would kill Bruno's father. The motives are respectively love and money.<br /><br />Bruno's performance is meant to be seductive and homoerotic. This is not something that was done by accident. In fact, Hitchcock edited two versions of the movie: one US, one UK. In the US version the volume of Bruno's seductiveness was turned down quite a bit.<br /><br />""Strangers on a Train"" is a very deep movie but more importantly this is another excellent Hitchcock thriller. An excellent example of a thrilling scene is when Guy is climbing the steps up to Bruno's father room. Hitchcock reasoned that the audience's attention needed to be distracted at this point so that they don't figure out what Guy will find in the room. Hitch treats us to a HUGE, menacing dog at the top of the stairs which provided the needed distraction.<br /><br />The most famous shot in the movie occurs during a tennis match. Bruno has been continuously stalking Guy so that Guy will fulfil his end of the bargain (kill his father). When Guy looks at the audience, all the heads are swiveling back and forth. All except one - Bruno's. He's looking straight at Guy with an ""i'll-get-you"" smile.<br /><br />The ending is another example of suspense. Both men fight for one key piece of evidence on a merry-go-round that's rotating at mad speed. A worker is crawling under it so he could get to the controls. When we finally get off this ride and the movie ends with Guy proving his innocence, we are left exhausted and nail-less (for those of us still biting our nails!).<br /><br />""Strangers on a Train"" is easily one of Hitchcock's best ""wrongly accused"" movies. Some credit him with one of the best villains (Bruno) as well. All in all, the movie might appear somewhat dated but that's a lesson in thriller-making from the master himself. I won't turn down Leonardo, if he came to teach me Renaissance painting, so neither should you.<br /><br /><< Review posted at FilmDailies.com>>",positive
"Not only is The Great Rock N Roll Swindle thoroughly inaccurate, but when it comes down to it, not much about it is interesting or even entertaining. Malcolm McLaren apparently squandered the majority of the Sex Pistols earnings on this waste of film, which makes it that much more obnoxious. The intention, from the beginning, was to create a monument to the ""genius"" of McLaren, who to this day takes full credit for creating punk music, creating the Sex Pistols, and at times even writing all the songs. Viewers follow McLaren to various settings, where he tells his story to his sidekick, a female dwarf, and simply takes credit for one thing after another. One particularly irritating scene has McLaren in an abandoned airplane hangar, waiting for a plane, being hounded by reporters and giving them their ""big story"". The most entertaining elements of the film are the animated short pieces, however, even these reek of McLaren's overbearing self-importance.<br /><br />Even as a farce, this film doesn't work. Little about it is entertaining, except for Steve Jones, who is surprisingly decent as a pseudo-detective type person. 20 years later, Julien Temple, who wrote and directed this film, also directed the Sex Pistols documentary ""The Filth and the Fury"". While that movie is much better and more interesting than ""Swindle"", it still is full of Temple's ""artistic flourishes"" that just don't work, like interviewing band members in shadow, as if they are some kind of crime witness trying to hide their identity. An interesting bit of trivia: Film critic Roger Ebert was one of the original scriptwriters for the movie ""Who Killed Bambi?"", which eventually became ""Swindle"".",negative
