review,sentiment
I absolutely loved this product!,positive
"Fantastic quality, highly recommend.",positive
The item was exactly as described.,positive
"Superb experience, will order again.",positive
Very happy with the purchase.,positive
Excellent customer service and fast delivery.,positive
This is the best purchase I've made.,positive
"Great value for money, very satisfied.",positive
The product exceeded my expectations.,positive
"Five stars, amazing quality!",positive
I really hated this product.,negative
"Poor quality, not worth the price.",negative
The item arrived broken and damaged.,negative
"Worst experience, never buying again.",negative
Very disappointed with the purchase.,negative
Customer service was unhelpful.,negative
This is the worst purchase I've made.,negative
"Terrible value for money, not satisfied.",negative
The product was below my expectations.,negative
"One star, terrible quality!",negative
